can_depnum,can_story,can_loc,can_closure
130381,Midstory,Mic,1
130381,Midstory,Q1,1
130381,Midstory,Q2,1
130381,Midstory,Q3,1
130381,Midstory,Q4,2
130381,Canopy,Mic,1
130381,Canopy,Q1,1
130381,Canopy,Q2,3
130381,Canopy,Q3,1
130381,Canopy,Q4,1
130382,Midstory,Mic,1
130382,Midstory,Q1,1
130382,Midstory,Q2,1
130382,Midstory,Q3,1
130382,Midstory,Q4,1
130382,Canopy,Mic,2
130382,Canopy,Q1,2
130382,Canopy,Q2,1
130382,Canopy,Q3,1
130382,Canopy,Q4,2
131261,Midstory,Mic,1
131261,Midstory,Q1,3
131261,Midstory,Q2,1
131261,Midstory,Q3,5
131261,Midstory,Q4,1
131261,Canopy,Mic,2
131261,Canopy,Q1,3
131261,Canopy,Q2,2
131261,Canopy,Q3,4
131261,Canopy,Q4,1
131262,Midstory,Mic,1
131262,Midstory,Q1,2
131262,Midstory,Q2,4
131262,Midstory,Q3,3
131262,Midstory,Q4,4
131262,Canopy,Mic,1
131262,Canopy,Q1,2
131262,Canopy,Q2,5
131262,Canopy,Q3,1
131262,Canopy,Q4,2
131461,Midstory,Mic,1
131461,Midstory,Q1,2
131461,Midstory,Q2,2
131461,Midstory,Q3,2
131461,Midstory,Q4,1
131461,Canopy,Mic,2
131461,Canopy,Q1,2
131461,Canopy,Q2,4
131461,Canopy,Q3,4
131461,Canopy,Q4,4
131462,Midstory,Mic,1
131462,Midstory,Q1,3
131462,Midstory,Q2,2
131462,Midstory,Q3,2
131462,Midstory,Q4,2
131462,Canopy,Mic,3
131462,Canopy,Q1,4
131462,Canopy,Q2,2
131462,Canopy,Q3,1
131462,Canopy,Q4,5
132542,Midstory,Mic,1
132542,Midstory,Q1,3
132542,Midstory,Q2,4
132542,Midstory,Q3,2
132542,Midstory,Q4,3
132542,Canopy,Mic,1
132542,Canopy,Q1,4
132542,Canopy,Q2,5
132542,Canopy,Q3,2
132542,Canopy,Q4,3
132541,Midstory,Mic,1
132541,Midstory,Q1,2
132541,Midstory,Q2,2
132541,Midstory,Q3,2
132541,Midstory,Q4,2
132541,Canopy,Mic,2
132541,Canopy,Q1,2
132541,Canopy,Q2,2
132541,Canopy,Q3,3
132541,Canopy,Q4,4
132101,Midstory,Mic,1
132101,Midstory,Q1,5
132101,Midstory,Q2,2
132101,Midstory,Q3,4
132101,Midstory,Q4,1
132101,Canopy,Mic,2
132101,Canopy,Q1,5
132101,Canopy,Q2,4
132101,Canopy,Q3,5
132101,Canopy,Q4,1
132102,Midstory,Mic,1
132102,Midstory,Q1,1
132102,Midstory,Q2,2
132102,Midstory,Q3,2
132102,Midstory,Q4,1
132102,Canopy,Mic,2
132102,Canopy,Q1,1
132102,Canopy,Q2,5
132102,Canopy,Q3,3
132102,Canopy,Q4,1
131302,Midstory,Mic,1
131302,Midstory,Q1,1
131302,Midstory,Q2,2
131302,Midstory,Q3,2
131302,Midstory,Q4,3
131302,Canopy,Mic,1
131302,Canopy,Q1,2
131302,Canopy,Q2,5
131302,Canopy,Q3,3
131302,Canopy,Q4,4
131301,Midstory,Mic,1
131301,Midstory,Q1,2
131301,Midstory,Q2,1
131301,Midstory,Q3,2
131301,Midstory,Q4,1
131301,Canopy,Mic,1
131301,Canopy,Q1,2
131301,Canopy,Q2,1
131301,Canopy,Q3,4
131301,Canopy,Q4,2
131941,Midstory,Mic,1
131941,Midstory,Q1,4
131941,Midstory,Q2,1
131941,Midstory,Q3,1
131941,Midstory,Q4,1
131941,Canopy,Mic,2
131941,Canopy,Q1,3
131941,Canopy,Q2,1
131941,Canopy,Q3,1
131941,Canopy,Q4,5
131942,Midstory,Mic,1
131942,Midstory,Q1,3
131942,Midstory,Q2,1
131942,Midstory,Q3,1
131942,Midstory,Q4,1
131942,Canopy,Mic,1
131942,Canopy,Q1,2
131942,Canopy,Q2,1
131942,Canopy,Q3,1
131942,Canopy,Q4,1
130622,Midstory,Mic,1
130622,Midstory,Q1,1
130622,Midstory,Q2,1
130622,Midstory,Q3,2
130622,Midstory,Q4,1
130622,Canopy,Mic,1
130622,Canopy,Q1,2
130622,Canopy,Q2,1
130622,Canopy,Q3,2
130622,Canopy,Q4,2
130621,Midstory,Mic,1
130621,Midstory,Q1,1
130621,Midstory,Q2,2
130621,Midstory,Q3,1
130621,Midstory,Q4,1
130621,Canopy,Mic,1
130621,Canopy,Q1,1
130621,Canopy,Q2,2
130621,Canopy,Q3,1
130621,Canopy,Q4,2
130662,Midstory,Mic,1
130662,Midstory,Q1,1
130662,Midstory,Q2,1
130662,Midstory,Q3,1
130662,Midstory,Q4,3
130662,Canopy,Mic,1
130662,Canopy,Q1,2
130662,Canopy,Q2,1
130662,Canopy,Q3,1
130662,Canopy,Q4,1
130661,Midstory,Mic,1
130661,Midstory,Q1,1
130661,Midstory,Q2,1
130661,Midstory,Q3,1
130661,Midstory,Q4,5
130661,Canopy,Mic,1
130661,Canopy,Q1,2
130661,Canopy,Q2,1
130661,Canopy,Q3,1
130661,Canopy,Q4,5
130022,Midstory,Mic,1
130022,Midstory,Q1,1
130022,Midstory,Q2,1
130022,Midstory,Q3,1
130022,Midstory,Q4,1
130022,Canopy,Mic,1
130022,Canopy,Q1,1
130022,Canopy,Q2,5
130022,Canopy,Q3,5
130022,Canopy,Q4,2
130021,Midstory,Mic,1
130021,Midstory,Q1,1
130021,Midstory,Q2,1
130021,Midstory,Q3,1
130021,Midstory,Q4,5
130021,Canopy,Mic,1
130021,Canopy,Q1,2
130021,Canopy,Q2,3
130021,Canopy,Q3,1
130021,Canopy,Q4,5
129632,Midstory,Mic,1
129632,Midstory,Q1,5
129632,Midstory,Q2,1
129632,Midstory,Q3,3
129632,Midstory,Q4,1
129632,Canopy,Mic,1
129632,Canopy,Q1,5
129632,Canopy,Q2,3
129632,Canopy,Q3,2
129632,Canopy,Q4,1
129631,Midstory,Mic,2
129631,Midstory,Q1,2
129631,Midstory,Q2,1
129631,Midstory,Q3,1
129631,Midstory,Q4,4
129631,Canopy,Mic,1
129631,Canopy,Q1,1
129631,Canopy,Q2,1
129631,Canopy,Q3,4
129631,Canopy,Q4,1
132512,Midstory,Mic,1
132512,Midstory,Q1,2
132512,Midstory,Q2,5
132512,Midstory,Q3,1
132512,Midstory,Q4,1
132512,Canopy,Mic,1
132512,Canopy,Q1,2
132512,Canopy,Q2,5
132512,Canopy,Q3,5
132512,Canopy,Q4,3
132511,Midstory,Mic,1
132511,Midstory,Q1,1
132511,Midstory,Q2,1
132511,Midstory,Q3,1
132511,Midstory,Q4,2
132511,Canopy,Mic,1
132511,Canopy,Q1,1
132511,Canopy,Q2,1
132511,Canopy,Q3,1
132511,Canopy,Q4,4
131142,Midstory,Mic,1
131142,Midstory,Q1,2
131142,Midstory,Q2,2
131142,Midstory,Q3,1
131142,Midstory,Q4,1
131142,Canopy,Mic,1
131142,Canopy,Q1,2
131142,Canopy,Q2,2
131142,Canopy,Q3,1
131142,Canopy,Q4,1
131141,Midstory,Mic,1
131141,Midstory,Q1,2
131141,Midstory,Q2,3
131141,Midstory,Q3,1
131141,Midstory,Q4,4
131141,Canopy,Mic,1
131141,Canopy,Q1,2
131141,Canopy,Q2,5
131141,Canopy,Q3,1
131141,Canopy,Q4,5
130302,Midstory,Mic,1
130302,Midstory,Q1,4
130302,Midstory,Q2,2
130302,Midstory,Q3,5
130302,Midstory,Q4,2
130302,Canopy,Mic,1
130302,Canopy,Q1,5
130302,Canopy,Q2,2
130302,Canopy,Q3,4
130302,Canopy,Q4,4
130301,Midstory,Mic,1
130301,Midstory,Q1,2
130301,Midstory,Q2,5
130301,Midstory,Q3,2
130301,Midstory,Q4,1
130301,Canopy,Mic,1
130301,Canopy,Q1,5
130301,Canopy,Q2,2
130301,Canopy,Q3,2
130301,Canopy,Q4,1
130912,Midstory,Mic,1
130912,Midstory,Q1,1
130912,Midstory,Q2,2
130912,Midstory,Q3,1
130912,Midstory,Q4,2
130912,Canopy,Mic,2
130912,Canopy,Q1,2
130912,Canopy,Q2,2
130912,Canopy,Q3,5
130912,Canopy,Q4,5
130911,Midstory,Mic,1
130911,Midstory,Q1,2
130911,Midstory,Q2,1
130911,Midstory,Q3,4
130911,Midstory,Q4,1
130911,Canopy,Mic,2
130911,Canopy,Q1,5
130911,Canopy,Q2,1
130911,Canopy,Q3,4
130911,Canopy,Q4,1
130432,Midstory,Mic,1
130432,Midstory,Q1,1
130432,Midstory,Q2,1
130432,Midstory,Q3,1
130432,Midstory,Q4,1
130432,Canopy,Mic,1
130432,Canopy,Q1,1
130432,Canopy,Q2,1
130432,Canopy,Q3,1
130432,Canopy,Q4,1
130431,Midstory,Mic,1
130431,Midstory,Q1,2
130431,Midstory,Q2,2
130431,Midstory,Q3,1
130431,Midstory,Q4,1
130431,Canopy,Mic,1
130431,Canopy,Q1,5
130431,Canopy,Q2,2
130431,Canopy,Q3,1
130431,Canopy,Q4,1
131001,Midstory,Mic,1
131001,Midstory,Q1,5
131001,Midstory,Q2,3
131001,Midstory,Q3,1
131001,Midstory,Q4,1
131001,Canopy,Mic,1
131001,Canopy,Q1,5
131001,Canopy,Q2,1
131001,Canopy,Q3,1
131001,Canopy,Q4,1
131002,Midstory,Mic,1
131002,Midstory,Q1,1
131002,Midstory,Q2,4
131002,Midstory,Q3,1
131002,Midstory,Q4,1
131002,Canopy,Mic,2
131002,Canopy,Q1,1
131002,Canopy,Q2,5
131002,Canopy,Q3,1
131002,Canopy,Q4,1
130941,Midstory,Mic,1
130941,Midstory,Q1,1
130941,Midstory,Q2,1
130941,Midstory,Q3,1
130941,Midstory,Q4,1
130941,Canopy,Mic,2
130941,Canopy,Q1,1
130941,Canopy,Q2,1
130941,Canopy,Q3,1
130941,Canopy,Q4,2
130942,Midstory,Mic,1
130942,Midstory,Q1,1
130942,Midstory,Q2,5
130942,Midstory,Q3,1
130942,Midstory,Q4,2
130942,Canopy,Mic,5
130942,Canopy,Q1,1
130942,Canopy,Q2,5
130942,Canopy,Q3,1
130942,Canopy,Q4,1
130272,Midstory,Mic,1
130272,Midstory,Q1,1
130272,Midstory,Q2,2
130272,Midstory,Q3,4
130272,Midstory,Q4,1
130272,Canopy,Mic,2
130272,Canopy,Q1,3
130272,Canopy,Q2,5
130272,Canopy,Q3,5
130272,Canopy,Q4,2
130271,Midstory,Mic,1
130271,Midstory,Q1,1
130271,Midstory,Q2,2
130271,Midstory,Q3,1
130271,Midstory,Q4,5
130271,Canopy,Mic,1
130271,Canopy,Q1,5
130271,Canopy,Q2,2
130271,Canopy,Q3,1
130271,Canopy,Q4,5
132672,Midstory,Mic,1
132672,Midstory,Q1,2
132672,Midstory,Q2,1
132672,Midstory,Q3,1
132672,Midstory,Q4,1
132672,Canopy,Mic,2
132672,Canopy,Q1,4
132672,Canopy,Q2,3
132672,Canopy,Q3,1
132672,Canopy,Q4,5
132671,Midstory,Mic,1
132671,Midstory,Q1,1
132671,Midstory,Q2,1
132671,Midstory,Q3,1
132671,Midstory,Q4,1
132671,Canopy,Mic,2
132671,Canopy,Q1,1
132671,Canopy,Q2,3
132671,Canopy,Q3,1
132671,Canopy,Q4,5
129791,Midstory,Mic,1
129791,Midstory,Q1,1
129791,Midstory,Q2,4
129791,Midstory,Q3,1
129791,Midstory,Q4,1
129791,Canopy,Mic,1
129791,Canopy,Q1,4
129791,Canopy,Q2,4
129791,Canopy,Q3,1
129791,Canopy,Q4,4
129792,Midstory,Mic,1
129792,Midstory,Q1,2
129792,Midstory,Q2,1
129792,Midstory,Q3,2
129792,Midstory,Q4,5
129792,Canopy,Mic,3
129792,Canopy,Q1,5
129792,Canopy,Q2,1
129792,Canopy,Q3,4
129792,Canopy,Q4,1
130671,Midstory,Mic,1
130671,Midstory,Q1,1
130671,Midstory,Q2,2
130671,Midstory,Q3,1
130671,Midstory,Q4,1
130671,Canopy,Mic,2
130671,Canopy,Q1,1
130671,Canopy,Q2,5
130671,Canopy,Q3,2
130671,Canopy,Q4,1
130672,Midstory,Mic,1
130672,Midstory,Q1,1
130672,Midstory,Q2,1
130672,Midstory,Q3,2
130672,Midstory,Q4,1
130672,Canopy,Mic,1
130672,Canopy,Q1,2
130672,Canopy,Q2,1
130672,Canopy,Q3,1
130672,Canopy,Q4,1
130362,Midstory,Mic,1
130362,Midstory,Q1,1
130362,Midstory,Q2,1
130362,Midstory,Q3,3
130362,Midstory,Q4,1
130362,Canopy,Mic,1
130362,Canopy,Q1,2
130362,Canopy,Q2,1
130362,Canopy,Q3,5
130362,Canopy,Q4,1
130361,Midstory,Mic,1
130361,Midstory,Q1,1
130361,Midstory,Q2,2
130361,Midstory,Q3,2
130361,Midstory,Q4,1
130361,Canopy,Mic,1
130361,Canopy,Q1,2
130361,Canopy,Q2,2
130361,Canopy,Q3,1
130361,Canopy,Q4,2
030941,Midstory,Mic,1
030941,Midstory,Q1,1
030941,Midstory,Q2,2
030941,Midstory,Q3,3
030941,Midstory,Q4,1
030941,Canopy,Mic,1
030941,Canopy,Q1,2
030941,Canopy,Q2,3
030941,Canopy,Q3,4
030941,Canopy,Q4,1
030942,Midstory,Mic,1
