SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
001-00004,001-000041,2016-07-03,EPFU,19.0,0.0
001-00004,001-000041,2016-07-03,LABO,1.0,0.5583533
001-00004,001-000041,2016-07-03,LACI,5.0,0.0307854
001-00004,001-000041,2016-07-03,LANO,1.0,1.0
001-00004,001-000041,2016-07-03,MYLU,5.0,1.193e-4
001-00004,001-000041,2016-07-03,MYSE,1.0,0.3085708
001-00004,001-000041,2016-07-03,NYHU,1.0,0.7449226
001-00004,001-000041,2016-07-03,PESU,1.0,0.2358285
001-00004,001-000041,2016-07-04,EPFU,26.0,0.0
001-00004,001-000041,2016-07-04,LABO,1.0,0.5109647
001-00004,001-000041,2016-07-04,LACI,8.0,0.0058551
001-00004,001-000041,2016-07-04,LANO,13.0,0.1183666
001-00004,001-000041,2016-07-04,MYLU,2.0,0.0810767
001-00004,001-000041,2016-07-04,MYSE,1.0,0.1571208
001-00004,001-000041,2016-07-04,NYHU,4.0,0.0287268
001-00004,001-000041,2016-07-04,PESU,1.0,0.2708949
001-00004,001-000041,2016-07-05,EPFU,29.0,0.0
001-00004,001-000041,2016-07-05,LABO,4.0,8.74e-4
001-00004,001-000041,2016-07-05,LACI,9.0,7.55e-4
001-00004,001-000041,2016-07-05,LANO,3.0,1.0
001-00004,001-000041,2016-07-05,MYLU,2.0,0.2639046
001-00004,001-000041,2016-07-05,MYSE,1.0,0.1564256
001-00004,001-000041,2016-07-05,NYHU,3.0,0.4851101
001-00004,001-000041,2016-07-05,PESU,0.0,1.0
001-00004,001-000041,2016-07-06,EPFU,31.0,0.0
001-00004,001-000041,2016-07-06,LABO,2.0,0.1879345
001-00004,001-000041,2016-07-06,LACI,8.0,0.0049115
001-00004,001-000041,2016-07-06,LANO,5.0,1.0
001-00004,001-000041,2016-07-06,MYLU,4.0,0.0031853
001-00004,001-000041,2016-07-06,MYSE,1.0,0.2585143
001-00004,001-000041,2016-07-06,NYHU,5.0,0.0224415
001-00004,001-000041,2016-07-06,PESU,0.0,1.0
001-00004,001-000041,2016-07-07,EPFU,22.0,0.0
001-00004,001-000041,2016-07-07,LABO,5.0,5.71e-5
001-00004,001-000041,2016-07-07,LACI,14.0,0.0
001-00004,001-000041,2016-07-07,LANO,3.0,1.0
001-00004,001-000041,2016-07-07,MYLU,1.0,0.8654946
001-00004,001-000041,2016-07-07,MYSE,4.0,3.9e-6
001-00004,001-000041,2016-07-07,NYHU,5.0,0.163404
001-00004,001-000041,2016-07-07,PESU,0.0,1.0
001-00004,001-000041,2016-07-08,EPFU,60.0,0.0
001-00004,001-000041,2016-07-08,LABO,9.0,6e-7
001-00004,001-000041,2016-07-08,LACI,4.0,0.9497704
001-00004,001-000041,2016-07-08,LANO,5.0,1.0
001-00004,001-000041,2016-07-08,MYLU,3.0,0.3868968
001-00004,001-000041,2016-07-08,MYSE,0.0,1.0
001-00004,001-000041,2016-07-08,NYHU,16.0,7.95e-5
001-00004,001-000041,2016-07-08,PESU,1.0,0.9260592
001-00004,001-000041,2016-07-09,EPFU,31.0,0.0
001-00004,001-000041,2016-07-09,LABO,6.0,1.643e-4
001-00004,001-000041,2016-07-09,LACI,1.0,1.0
001-00004,001-000041,2016-07-09,LANO,8.0,0.8828794
001-00004,001-000041,2016-07-09,MYLU,7.0,4.049e-4
001-00004,001-000041,2016-07-09,MYSE,0.0,1.0
001-00004,001-000041,2016-07-09,NYHU,6.0,0.1335941
001-00004,001-000041,2016-07-09,PESU,1.0,0.7437458
001-00004,001-000041,2016-07-10,EPFU,50.0,0.0
001-00004,001-000041,2016-07-10,LABO,8.0,1.8e-6
001-00004,001-000041,2016-07-10,LACI,5.0,0.5289121
001-00004,001-000041,2016-07-10,LANO,5.0,1.0
001-00004,001-000041,2016-07-10,MYLU,1.0,1.0
001-00004,001-000041,2016-07-10,MYSE,0.0,1.0
001-00004,001-000041,2016-07-10,NYHU,16.0,3.29e-5
001-00004,001-000041,2016-07-10,PESU,4.0,0.0207669
001-00004,001-000041,2016-07-11,EPFU,20.0,0.0
001-00004,001-000041,2016-07-11,LABO,1.0,0.712725
001-00004,001-000041,2016-07-11,LACI,2.0,0.8066351
001-00004,001-000041,2016-07-11,LANO,5.0,0.9615818
001-00004,001-000041,2016-07-11,MYLU,3.0,0.0120421
001-00004,001-000041,2016-07-11,MYSE,0.0,1.0
001-00004,001-000041,2016-07-11,NYHU,8.0,1.144e-4
001-00004,001-000041,2016-07-11,PESU,0.0,1.0
001-00004,001-000041,2016-07-12,EPFU,0.0,1.0
001-00004,001-000041,2016-07-12,LABO,0.0,1.0
001-00004,001-000041,2016-07-12,LACI,0.0,1.0
001-00004,001-000041,2016-07-12,LANO,0.0,1.0
001-00004,001-000041,2016-07-12,MYLU,0.0,1.0
001-00004,001-000041,2016-07-12,MYSE,0.0,1.0
001-00004,001-000041,2016-07-12,NYHU,0.0,1.0
001-00004,001-000041,2016-07-12,PESU,0.0,1.0
001-00004,001-000042,2016-07-03,EPFU,2.0,0.6887919
001-00004,001-000042,2016-07-03,LABO,2.0,0.0028936
001-00004,001-000042,2016-07-03,LACI,19.0,0.0
001-00004,001-000042,2016-07-03,LANO,1.0,1.0
001-00004,001-000042,2016-07-03,MYLU,0.0,1.0
001-00004,001-000042,2016-07-03,MYSE,0.0,1.0
001-00004,001-000042,2016-07-03,NYHU,0.0,1.0
001-00004,001-000042,2016-07-03,PESU,1.0,0.2616697
001-00004,001-000042,2016-07-04,EPFU,23.0,0.0
001-00004,001-000042,2016-07-04,LABO,2.0,0.0156879
001-00004,001-000042,2016-07-04,LACI,27.0,0.0
001-00004,001-000042,2016-07-04,LANO,9.0,0.9847678
001-00004,001-000042,2016-07-04,MYLU,0.0,1.0
001-00004,001-000042,2016-07-04,MYSE,0.0,1.0
001-00004,001-000042,2016-07-04,NYHU,1.0,0.8786437
001-00004,001-000042,2016-07-04,PESU,0.0,1.0
001-00004,001-000042,2016-07-05,EPFU,12.0,0.0
001-00004,001-000042,2016-07-05,LABO,0.0,1.0
001-00004,001-000042,2016-07-05,LACI,11.0,0.0
001-00004,001-000042,2016-07-05,LANO,1.0,1.0
001-00004,001-000042,2016-07-05,MYLU,1.0,0.1722203
001-00004,001-000042,2016-07-05,MYSE,0.0,1.0
001-00004,001-000042,2016-07-05,NYHU,4.0,0.0029828
001-00004,001-000042,2016-07-05,PESU,0.0,1.0
001-00004,001-000042,2016-07-06,EPFU,19.0,0.0
001-00004,001-000042,2016-07-06,LABO,4.0,7.32e-5
001-00004,001-000042,2016-07-06,LACI,13.0,0.0
001-00004,001-000042,2016-07-06,LANO,5.0,1.0
001-00004,001-000042,2016-07-06,MYLU,0.0,1.0
001-00004,001-000042,2016-07-06,MYSE,0.0,1.0
001-00004,001-000042,2016-07-06,NYHU,2.0,0.7800446
001-00004,001-000042,2016-07-06,PESU,0.0,1.0
001-00004,001-000042,2016-07-07,EPFU,18.0,0.0
001-00004,001-000042,2016-07-07,LABO,9.0,0.0
001-00004,001-000042,2016-07-07,LACI,25.0,0.0
001-00004,001-000042,2016-07-07,LANO,7.0,1.0
001-00004,001-000042,2016-07-07,MYLU,0.0,1.0
001-00004,001-000042,2016-07-07,MYSE,0.0,1.0
001-00004,001-000042,2016-07-07,NYHU,5.0,0.4502967
001-00004,001-000042,2016-07-07,PESU,0.0,1.0
001-00004,001-000042,2016-07-08,EPFU,57.0,0.0
001-00004,001-000042,2016-07-08,LABO,27.0,0.0
001-00004,001-000042,2016-07-08,LACI,27.0,0.0
001-00004,001-000042,2016-07-08,LANO,14.0,1.0
001-00004,001-000042,2016-07-08,MYLU,0.0,1.0
001-00004,001-000042,2016-07-08,MYSE,0.0,1.0
001-00004,001-000042,2016-07-08,NYHU,22.0,0.0014881
001-00004,001-000042,2016-07-08,PESU,2.0,0.9585819
001-00004,001-000042,2016-07-09,EPFU,69.0,0.0
001-00004,001-000042,2016-07-09,LABO,18.0,0.0
001-00004,001-000042,2016-07-09,LACI,19.0,1.9e-6
001-00004,001-000042,2016-07-09,LANO,15.0,1.0
001-00004,001-000042,2016-07-09,MYLU,1.0,1.0
001-00004,001-000042,2016-07-09,MYSE,0.0,1.0
001-00004,001-000042,2016-07-09,NYHU,17.0,0.0020409
001-00004,001-000042,2016-07-09,PESU,0.0,1.0
001-00004,001-000042,2016-07-10,EPFU,140.0,0.0
001-00004,001-000042,2016-07-10,LABO,43.0,0.0
001-00004,001-000042,2016-07-10,LACI,20.0,0.0026573
001-00004,001-000042,2016-07-10,LANO,14.0,1.0
001-00004,001-000042,2016-07-10,MYLU,2.0,1.0
001-00004,001-000042,2016-07-10,MYSE,0.0,1.0
001-00004,001-000042,2016-07-10,NYHU,7.0,1.0
001-00004,001-000042,2016-07-10,PESU,2.0,1.0
001-00004,001-000042,2016-07-11,EPFU,30.0,0.0
001-00004,001-000042,2016-07-11,LABO,42.0,0.0
001-00004,001-000042,2016-07-11,LACI,18.0,0.0
001-00004,001-000042,2016-07-11,LANO,18.0,0.0402828
001-00004,001-000042,2016-07-11,MYLU,1.0,1.0
001-00004,001-000042,2016-07-11,MYSE,1.0,0.3389494
001-00004,001-000042,2016-07-11,NYHU,25.0,0.0145011
001-00004,001-000042,2016-07-11,PESU,1.0,1.0
001-00004,001-000042,2016-07-12,EPFU,0.0,1.0
001-00004,001-000042,2016-07-12,LABO,0.0,1.0
001-00004,001-000042,2016-07-12,LACI,0.0,1.0
001-00004,001-000042,2016-07-12,LANO,0.0,1.0
001-00004,001-000042,2016-07-12,MYLU,0.0,1.0
001-00004,001-000042,2016-07-12,MYSE,0.0,1.0
001-00004,001-000042,2016-07-12,NYHU,0.0,1.0
001-00004,001-000042,2016-07-12,PESU,0.0,1.0
001-00009,001-000091,2016-07-03,EPFU,178.0,0.0
001-00009,001-000091,2016-07-03,LABO,36.0,0.0
001-00009,001-000091,2016-07-03,LACI,15.0,0.3600919
001-00009,001-000091,2016-07-03,LANO,4.0,1.0
001-00009,001-000091,2016-07-03,MYLU,2.0,1.0
001-00009,001-000091,2016-07-03,MYSE,1.0,0.3048977
001-00009,001-000091,2016-07-03,NYHU,27.0,8.51e-4
001-00009,001-000091,2016-07-03,PESU,0.0,1.0
001-00009,001-000091,2016-07-04,EPFU,232.0,0.0
001-00009,001-000091,2016-07-04,LABO,41.0,0.0
001-00009,001-000091,2016-07-04,LACI,12.0,1.0
001-00009,001-000091,2016-07-04,LANO,14.0,1.0
001-00009,001-000091,2016-07-04,MYLU,0.0,1.0
001-00009,001-000091,2016-07-04,MYSE,1.0,0.3671438
001-00009,001-000091,2016-07-04,NYHU,66.0,0.0
001-00009,001-000091,2016-07-04,PESU,0.0,1.0
001-00009,001-000091,2016-07-05,EPFU,194.0,0.0
001-00009,001-000091,2016-07-05,LABO,33.0,0.0
001-00009,001-000091,2016-07-05,LACI,23.0,0.0131212
001-00009,001-000091,2016-07-05,LANO,12.0,1.0
001-00009,001-000091,2016-07-05,MYLU,4.0,0.9997637
001-00009,001-000091,2016-07-05,MYSE,2.0,0.0495291
001-00009,001-000091,2016-07-05,NYHU,84.0,0.0
001-00009,001-000091,2016-07-05,PESU,4.0,0.6476321
001-00009,001-000091,2016-07-06,EPFU,71.0,0.0
001-00009,001-000091,2016-07-06,LABO,12.0,2e-7
001-00009,001-000091,2016-07-06,LACI,7.0,0.4664291
001-00009,001-000091,2016-07-06,LANO,5.0,1.0
001-00009,001-000091,2016-07-06,MYLU,3.0,0.6268276
001-00009,001-000091,2016-07-06,MYSE,1.0,0.2501404
001-00009,001-000091,2016-07-06,NYHU,42.0,0.0
001-00009,001-000091,2016-07-06,PESU,2.0,0.6895538
001-00009,001-000091,2016-07-07,EPFU,171.0,0.0
001-00009,001-000091,2016-07-07,LABO,49.0,0.0
001-00009,001-000091,2016-07-07,LACI,5.0,1.0
001-00009,001-000091,2016-07-07,LANO,4.0,1.0
001-00009,001-000091,2016-07-07,MYLU,1.0,1.0
001-00009,001-000091,2016-07-07,MYSE,0.0,1.0
001-00009,001-000091,2016-07-07,NYHU,100.0,0.0
001-00009,001-000091,2016-07-07,PESU,0.0,1.0
001-00009,001-000091,2016-07-08,EPFU,180.0,0.0
001-00009,001-000091,2016-07-08,LABO,60.0,0.0
001-00009,001-000091,2016-07-08,LACI,7.0,1.0
001-00009,001-000091,2016-07-08,LANO,8.0,1.0
001-00009,001-000091,2016-07-08,MYLU,0.0,1.0
001-00009,001-000091,2016-07-08,MYSE,2.0,0.0557815
001-00009,001-000091,2016-07-08,NYHU,104.0,0.0
001-00009,001-000091,2016-07-08,PESU,5.0,0.9234676
