dep_site,hab_sampnum,dep_depnum,NEAR_DIST
016,13126,131261,74.40323873
016,13126,131262,148.2281563
016,13002,130021,211.0803246
016,13002,130022,276.7112249
016,13130,131301,344.676156
016,13130,131302,434.2769363
016,13066,130661,552.4207321
016,13066,130662,645.022698
016,12963,129631,1087.20276
016,12963,129632,1017.458159
016,13114,131141,581.2577876
016,13114,131142,634.7969901
016,13030,130301,889.7058659
016,13030,130302,944.6572579
016,13062,130621,488.1869452
016,13062,130622,514.9604359
016,12979,129791,617.9880731
016,12979,129792,576.1152655
016,13043,130431,1261.314981
016,13043,130432,1223.671192
016,13038,130381,7.787220327
016,13038,130382,99.80309923
016,13146,131461,256.5883808
016,13146,131462,313.0794745
016,13067,130671,679.9369313
016,13067,130672,681.7904937
016,13036,130361,526.5859544
016,13036,130362,588.1855919
016,13100,131001,474.2728801
016,13100,131002,372.3006664
016,13094,130941,324.4996936
016,13094,130942,249.7267423
016,13027,130271,1427.016989
016,13027,130272,1406.609948
016,13091,130911,893.4619509
016,13091,130912,938.1770975
016,13194,131941,432.9681451
016,13194,131942,374.8597137
016,13210,132101,653.8976888
016,13210,132102,587.3495529
016,13254,132541,948.0397543
016,13254,132542,1022.767107
016,13251,132511,935.9937221
016,13251,132512,876.5657336
016,13267,132671,798.0061742
016,13267,132672,755.6819626
004,02793,027931,149.3716136
004,02793,027932,99.01832437
004,02653,026531,43.60877583
004,02653,026532,18.04369042
004,02601,026011,42.06061458
004,02601,026012,33.0877035
004,02739,027391,250.2454384
004,02739,027392,230.0404473
004,02675,026751,9.953254558
004,02675,026752,3.836273162
004,02595,025951,54.34922641
004,02595,025952,97.1807568
004,02718,027181,110.3187657
004,02718,027182,177.2447989
004,02709,027091,135.0076801
004,02709,027092,47.51398516
004,02726,027261,10.68605948
004,02726,027262,38.77826198
004,02757,027571,151.323385
004,02757,027572,135.2989848
004,02696,026961,919.6663709
004,02696,026962,869.1850832
004,02963,029631,118.0778415
004,02963,029632,145.2057196
004,02806,028061,377.4612328
004,02806,028062,322.2173325
004,03094,030941,128.3052626
004,03094,030942,97.35790015
004,03021,030211,5.232242248
004,03021,030212,3.907023292
004,02614,026141,5.343525037
004,02614,026142,77.63090262
004,02678,026781,249.9732552
004,02678,026782,209.2237939
004,02837,028371,247.0255834
004,02837,028372,247.3767374
004,02889,028891,32.06537271
004,02889,028892,24.60690196
